item_id,level
10100000,1
10110000,2
10111000,3
10112000,4
10113000,5
10114000,6
10120000,7
10121000,8
10122000,9
10123000,10
10124000,11
10130000,12
10131000,13
10132000,14
10133000,15
10134000,16
10130001,17
10131001,18
10132001,19
10133001,20
10134001,21
10140000,22
10141000,23
10142000,24
10143000,25
10144000,26
10140001,27
10141001,28
10142001,29
10143001,30
10144001,31
10150000,32
10151000,33
10152000,34
10153000,35
10154000,36
10150001,37
10151001,38
10152001,39
10153001,40
10154001,41
10155000,42
10200000,1
10210000,2
10211000,3
10212000,4
10213000,5
10214000,6
10220000,7
10221000,8
10222000,9
10223000,10
10224000,11
10230000,12
10231000,13
10232000,14
10233000,15
10234000,16
10230001,17
10231001,18
10232001,19
10233001,20
10234001,21
10240000,22
10241000,23
10242000,24
10243000,25
10244000,26
10240001,27
10241001,28
10242001,29
10243001,30
10244001,31
10250000,32
10251000,33
10252000,34
10253000,35
10254000,36
10250001,37
10251001,38
10252001,39
10253001,40
10254001,41
10255000,42
10310000,1
10311000,2
10312000,3
10313000,4
10314000,5
10320000,6
10321000,7
10322000,8
10323000,9
10324000,10
10330000,11
10331000,12
10332000,13
10333000,14
10334000,15
10340000,16
10341000,17
10342000,18
10343000,19
10344000,20
10350000,21
10351000,22
10352000,23
10353000,24
10354000,25
10410000,1
10411000,2
10412000,3
10413000,4
10414000,5
10420000,6
10421000,7
10422000,8
10423000,9
10424000,10
10430000,11
10431000,12
10432000,13
10433000,14
10434000,15
10440000,16
10441000,17
10442000,18
10443000,19
10444000,20
10450000,21
10451000,22
10452000,23
10453000,24
10454000,25
10510000,1
10511000,2
10512000,3
10513000,4
10514000,5
10520000,6
10521000,7
10522000,8
10523000,9
10524000,10
10530000,11
10531000,12
10532000,13
10533000,14
10534000,15
10540000,16
10541000,17
10542000,18
10543000,19
10544000,20
10550000,21
10551000,22
10552000,23
10553000,24
10554000,25
11320000,1
11420000,1
11520000,1
40100000,1
40100001,1
40100002,1
40100003,1
40100004,1
40100005,1
40100006,1
40200001,1
40200002,1
40200003,1
40200004,1
40200005,1
40200006,1
40200007,1
40300001,1
40300002,1
40300003,1
40300004,1
40300005,1
40300006,1
40300007,1
40300008,1
40300009,1
40300010,1
40400001,1
40400002,1
40400003,1
40400004,1
40400005,1
40400006,1
40500001,1
40500002,1
40500003,1
40500004,1
40500005,1
40500006,1
40500007,1
40500008,1
40500009,1
40500010,1
49900001,1
49900002,1
49900003,1
49900004,1
49900005,1
49900006,1
