Key,English,Korean,Portuguese
HELP_POPUP_100000_PAGE_00_TITLE,"Welcome to Nine Chronicles world!","나인 크로니클에 오신 것을 환영합니다!","Bem vindos ao mundo de Nine Chronicles!"
HELP_POPUP_100000_PAGE_00_TEXT_00,"Nine Chronicles aims to recreate the nordic fantasy RPG world based on 'Blockchain Network'.","나인 크로니클은 북유럽 판타지 RPG 세계를 '블록체인 네트워크'로 재현하는 것을 지향합니다.","O Nine Chronicles tem como objetivo recriar o mundo de fantasia nórdica RPG baseado no 'Blockchain Network'"
HELP_POPUP_100000_PAGE_00_TEXT_01,"<All game data will be stored in Blocks>","- 게임 데이터들은 블록이란 단위에 저장됩니다 -","<Todos os dados do jogo vão ser guardados em Blocos>"
HELP_POPUP_100000_PAGE_00_TEXT_02,"Nine Chronicles store game data in long chain-connected blocks, called blockchains.","나인 크로니클은 게임 데이터를 사슬처럼 길게 연결된 블록들 안에 저장하는데 이를 <블록체인>이라고 합니다.","O Nine Chronicles armazena os dados em blocos conectados em cadeia , chamados blockchains."
HELP_POPUP_100000_PAGE_00_TEXT_03,"This means that Nine Chronicles is a completely decentralized game, and players can develop this world on their own.","블록체인을 사용한다는 것은 나인 크로니클이 완벽하게 탈중앙화된 게임이며 플레이어들에 의해 운영된다는 것을 의미합니다.","Isso significa que o Nine Chronicles é um jogo completamente descentralizado, e os jogadores podem desenvolver esse mundo por conta própria."
HELP_POPUP_100000_PAGE_00_TEXT_04,"First, let's make your avatar.","소개는 이정도로. 우선 아바타를 만듭시다.","Primeiro, vamos fazer o seu avatar."
HELP_POPUP_100000_PAGE_01_TITLE,"Create your avatar!","캐릭터를 생성하세요!","Crie o seu avatar!"
HELP_POPUP_100000_PAGE_01_TEXT_00,"We’re plan to design a total of 4 classes, but you can only create warrior. The warrior is a close-up unit, strong and powerful damage with the ability of a combo system.","저희는 총 4개 클래스를 디자인하려고 합니다만 지금은 전사 캐릭터만 생성 가능합니다. 전사는 근접 유닛으로, 튼튼하며 콤보 시스템이란 능력으로 강력한 데미지를 가합니다.","Planejamos criar um total de 4 classes, mas você só pode criar guerreiros. O guerreiro é uma unidade de curto alcance, de dano forte e poderoso com a capacidade de um sistema de combo."
HELP_POPUP_100000_PAGE_01_TEXT_01,"I'll let you know the combo system later. Let's decorate the warrior character to your taste. Use your imagination!","콤보 시스템에 대해서는 추후 설명하겠습니다. 전사 클래스의 캐릭터를 당신의 취향대로 커스텀합시다. 상상력을 발휘하세요!","Falarei sobre o sistema combinado mais tarde. Vamos decorar o personagem do seu jeito. Use a imaginação."
HELP_POPUP_100001_PAGE_00_TITLE,"Main Lobby","여기는 로비입니다","Lobby Principal"
HELP_POPUP_100001_PAGE_00_TEXT_00,"This is the first moment of the Nine Chronicles journey. Some actions are possible here.","이곳이 나인 크로니클 여정의 첫 번째 순간입니다. 이곳에서 몇 가지 행동들이 가능합니다.","Este é o primeiro momento da jornada do Nine Chronicles. Aqui algumas ações são possíveis."
HELP_POPUP_100001_PAGE_00_TEXT_01,"You need action power to enter the battle. Action power is just like a stamina and is necessary for various activity in the game. Click on the warp gate at the bottom right.","전투 액션은 행동력을 소모합니다. 행동력은 스태미나 같은 개념이며 게임의 각종 기능을 해금하기 위해 필요합니다. 우측 하단의 워프 게이트를 클릭하세요.","Você precisa de poder de ação para entrar na batalha. O poder de ação é como uma resistência e é necessário para várias atividades no jogo. Clique no Portal de Teletransporte no canto inferior direito."
HELP_POPUP_100002_PAGE_00_TITLE,"WORLD MAP","월드맵","Mapa Mundial"
HELP_POPUP_100002_PAGE_00_TEXT_00,"There are a total of nine worlds here. Goddess Freya promised to reincarnate you into Midgard when you collect the gemstones from nine worlds. If you clear one world, you can open the next one.","이곳은 총 9개의 세계로 이루어져 있습니다. 여신 프레이야는 9개의 세계에서 당신이 원석을 모아오면 미드가르드로 환생을 시켜줄 것을 약속했습니다. 한 세계를 클리어하면 다음 세계를 열 수 있습니다.","Há um total de nove mundos aqui. A Deusa Freya prometeu reencarnar você em Midgard quando você coletar as pedras preciosas dos nove mundos. Se você limpar um mundo, poderá abrir o próximo."
HELP_POPUP_100003_PAGE_00_TITLE,"Yggdrasil","이그드라실","Yggdrasil"
HELP_POPUP_100003_PAGE_00_TEXT_00,"This is around Yggdrasil, the great world tree. It is located in the center of the world.

At first glance, the monsters here are cute and lovely. But their teeth and claws will have no mercy. You have to adjust to this place first.","여기는 거대한 세계수 이그드라실 주변입니다. 이 세계의 중앙에 위치합니다.

얼핏 보기에 이곳의 몬스터들은 귀엽고 사랑스럽습니다. 하지만 그들의 이빨과 발톱은 자비가 없을 것입니다. 당신은 우선 이곳에 적응해야 합니다.","Isto é o arredor de Yggdrasil, a grande árvore do mundo. Está localizado no centro do mundo. 
 
 À primeira vista, os monstros aqui são fofos e adoráveis. Mas seus dentes e garras não terão piedade. Você precisa se ajustar a este lugar primeiro."
HELP_POPUP_100004_PAGE_00_TITLE,"Prepare for Battle","전투를 준비하세요!","Prepara-se para a Batalha"
HELP_POPUP_100004_PAGE_00_TEXT_00,"<color=red>HP
ATK
DEF
CRI
HIT
SPD</color>","<color=red>HP
ATK
DEF
CRI
HIT
SPD</color>","<color=red>HP
ATK
DEF
CRI
HIT
SPD</color>"
HELP_POPUP_100004_PAGE_00_TEXT_01,"means physical stamina and can be boosted with <color=red>Armor</color>
means attack power and is determined by <color=red>Weapon</color>
means defense power and can be boosted by pair of <color=red>Rings</color>
means critical rate and is boosted by <color=red>Consumables</color>
means attack accuracy and is determined by <color=red>Amulet</color>
means attack speed and can be boosted with <color=red>Belt</color>","체력을 올리기 위해 필요한 장비는 <color=red>갑옷</color>
공격력을 올리기 위해 필요한 장비는 <color=red>무기</color>
방어력을 올리기 위해 필요한 장비는 <color=red>반지</color>
치명타율을 올리기 위해 필요한 아이템은 <color=red>음식</color>
명중률을 올리기 위해 필요한 장비는 <color=red>목걸이</color>
속도를 올리기 위해 필요한 장비는 <color=red>벨트</color>","significa resistência física e pode ser aumentada com<color=red>Armaduras</color>
significa poder de ataque e é determinado pela sua <color=red>Arma</color>
significa poder de defesa e pode ser aumentada por <color=red>Anéis</color>
significa chance de ataque crítico e é aumentada por <color=red>Consumíveis</color>
significa precisão e é determinada pelo seu <color=red>Amuleto</color>
significa velocidade de ataque e pode ser aumentada com um <color=red>Cinto</color>"
HELP_POPUP_100005_PAGE_00_TITLE,"Auto battle & Combo system","자동전투 & 콤보 시스템","Batalha automática e Sistema Combo"
HELP_POPUP_100005_PAGE_00_TEXT_00,"The battle will proceed automatically. The warrior is a close-up unit, strong and powerful damage with the ability of a combo system.","전투는 자동으로 진행됩니다. 전사는 근접 유닛으로, 튼튼하며 콤보 시스템이란 능력으로 강력한 데미지를 가합니다.","A batalha irá continuar automáticamente. O guerreiro é uma unidade de curto alcance, de dano forte e poderoso com a capacidade de um sistema de combo."
HELP_POPUP_100005_PAGE_00_TEXT_01,"As the combos are added, the bonus damage increases, and the probability of critical attacks increases. Level 1 to 10 warriors attack with 100 percent damage at 1HIT, and when a combo is added, 200 percent damage with a +25 percent critical batting bonus.","첫 공격은 보너스가 없으나 콤보가 점점 연결되면서 데미지와 치명타율 보너스가 증가합니다. 레벨 1~10 전사는 첫 공격으로 100%의 데미지를 주고 둘째 공격으로 200%의 데미지와 +25%의 치명타율 보너스로 공격합니다.","À medida que os combos são adicionados, o dano bônus aumenta, e a probabilidade de ataques críticos aumenta. Guerreiros de nível 1 a 10 atacam com 100% de dano a 1HIT, e quando um combo é adicionado, 200% de dano com um bônus de rebatimento crítico de +25%."
HELP_POPUP_100005_PAGE_01_TITLE,"Interfaces","인터페이스","Interfaces"
HELP_POPUP_100005_PAGE_01_TEXT_00,"1. Character’s EXP and HP
2. Stage Information
3. Quest
4. Combo
5. Battlefield
6. Bottom Menu
7. Battle Progress bar
8. Repeat Current Stage (Toggle)","1. 캐릭터의 경험치와 HP
2. 스테이지 정보
3. 퀘스트
4. 현재 콤보수
5. 전장
6. 하단 메뉴[newline+D19]7. 전투 진행도
8. 현재 스테이지 반복 (토글)","1. EXP do personagem e HP
 2. Informações do estágio
 3. Missão
 4. Combo
 5. Campo de batalha
 6. Menu inferior
 7. Barra de progresso da batalha
 8. Repetir o estágio atual (alternar)"
HELP_POPUP_100006_PAGE_00_TITLE,"Stage Clear","스테이지 클리어","Nível completo"
HELP_POPUP_100006_PAGE_00_TEXT_00,"You can earn rewards based on the number of stars.

0 Star: Failed - Earn 30% of EXP
1 Star: Good - Earn 100% of EXP
2 Stars: Great - Earn materials
3 Stars: Perfect - Unlock next stage","별 수집률에 따라서 스테이지 보상이 달라집니다.

0별: 실패이며 30%의 경험치만 얻습니다 (스테이지 난이도 기반)
1별: Good - 100%의 경험치를 얻습니다 (스테이지 난이도 기반)
2별: Great - 재료 아이템을 추가로 얻습니다 (스테이지 정보 기반)
3별: Perfect - 다음 스테이지로 넘어갑니다","Você pode ganhar recompensas com base no número de estrelas.

0 Estrela: Falha - Ganhe 30% de EXP 
1 Estrela: Bom - Ganhe 100% de EXP
2 Estrelas: Ótimo - Ganhe materiais
3 Estrelas: Perfeito - Desbloqueia a próxima fase"
HELP_POPUP_100007_PAGE_00_TITLE,"Welcome to the Workshop","공방에 어서 오세요!","Bem vindo à Oficina"
HELP_POPUP_100007_PAGE_00_TEXT_00,"You can make everything from simple equipment to very powerful items here. If you make an item, you can check the progress at the workshop bottom menu, and you have to wait a certain amount of time for it to be completed.

Items will be delivered via mail when the crafting is complete.","당신은 이곳에서 간단한 장비부터 아주 강력한 아이템까지 모든 것을 만들 수 있습니다. 아이템을 만들면 제작소에서 진행상황을 확인할 수 있으며, 완성되기까지는 일정 시간을 기다려야 합니다. 제작이 모두 완료되면 메일로 아이템이 배달됩니다.","Você pode fazer de tudo, desde equipamentos simples a itens muito poderosos aqui. Se você criar um item, poderá verificar o progresso no menu inferior da Oficina, e precisará aguardar um certo tempo para que ele seja concluído.,, Os itens serão entregues por correio quando a elaboração está concluída."
HELP_POPUP_100008_PAGE_00_TITLE,"Here is the Workshop!","여기는 워크숍입니다!","Esta é a Oficina!"
HELP_POPUP_100008_PAGE_00_TEXT_00,"You can make up to 4 items at a time. You need at least one empty slot to craft an item. If you have a lot of hourglass item, you can receive the items quickly.","아이템은 한번에 최대 4개까지 만들 수 있습니다. 적어도 비어있는 슬롯이 하나는 있어야 아이템을 제작할 수 있습니다. 모래시계를 많이 들고 있다면, 아이템을 빨리 완성할 수 있습니다.","Você pode criar até 4 itens por vez. Você precisa de pelo menos um slot vazio para criar um item. Se você tiver muitas ampulhetas, poderá recebê-los rapidamente."
